file,forwarder_company,shipper_company,consignee_company
235884-ACTUAL - C00078185 (3)_334020180112123705-Page(1).jpg,,,
235697-Fast B&W scan to a PDF file_2_701820180102111306-Page(1).jpg,,,
235699-AWBLayout_305620180102155940-Page(3).jpg,,KAMAX GMBH & CO.,JCB INDIA LTD .
235700-Pre_Alert20180103010149591_304120180102223840-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,SR DGN U PURCHASE U ENSD
235701-Pre_Alert20180103010338743_229920180102223846-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,NESCAL ( S ) PTE LTD,SR . DGN U PURCHASE U ENSD
235702-TaeDocumentoHAWB_Copias_Marmedsa_255320180102215434-Page(1).jpg,,,JCB INDIA LTD
235703-00124777_130120180103100621-Page(1).jpg,,,
235704-Air Way bill 12 vias Beta_340720180103111108-Page(1).jpg,,,KOTAK MAHINDRA BANK LTD
235705-201801031247126-0.jpg,,,
235705-201801031247126-1.jpg,,,
235706-7058438_226220180103143652-Page(1).jpg,,,
235708-HO0000628698_305620180103174614-Page(1).jpg,ABC EUROPEAN AIR & SEA,MIBA STEELTEC S. R. O .,JCB INDIA
235710-MAWB+HAWB+MANIFEST_229920180104102213-Page(3).jpg,,,
235711-MIA1347_304120180104042903-Page(3).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
235712-217-58165634 HAWB-A_255320180104113621-Page(1).jpg,,"

 ZHEJIANG INTERNATIONAL BUSINESS GROUP WE ZHO AIR",
235713-217-58165634 HAWB-B_202020180104113622-Page(1).jpg,,,
235714-HouseAirwayBill39218-01001_161020180104105627-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235716-JB067506_156920180104130817-Page(1).jpg,JJB LINK LOGISTICS COMPANY LIMITED,,"

 M/ S SURERMELT ENGINEERS"
235717-Fast B&W scan to a PDF file_3_161020180104135236-Page(1).jpg,,,
235718-Pre-Alert20180104160345230_414620180104135258-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235719-hkamaa180105_156920180104153108-Page(1).jpg,,,
235725-WYL1801417_327920180105101120-Page(1).jpg,"JOYSPEED GLOBAL CARGO CO. , LTD",,PARIS ELYSEES INDIA PVT LTD
235726-04JAN201816584329_203dd489_333920180104213602-Page(1).jpg,,,
235727-04JAN201816584671_203dd489_327920180104213603-Page(1).jpg,,,
235728-04JAN201816584995_203dd489_305620180104213603-Page(1).jpg,,,
235729-ATL1017_304120180104212109-Page(3).jpg,,,
235730-DEL BorgWarner_249820180104190209-Page(1).jpg,,,
235731-DEL Schattdecor_124820180104190209-Page(1).jpg,,,STYLAM INDUSTRIES LTD
235732-HAWB_333920180105102710-Page(1).jpg,"MPG TRANSITOS , S.A . 

 TECNICAS DE ELECTRONICA Y AUTOMATISMOS S.A .",,
235733-BOM Reifen_327920180105124124-Page(1).jpg,,,
235734-BOM ZF_351020180105124125-Page(1).jpg,,,JCB INDIA LTD .
235707-03JAN201812550693_203c18b5_178420180103173112-Page(1).jpg,,,JCB INDIA LTD
235720-16110005472_124820180104174822-Page(1).jpg,,SANDVIK MINING AND CO STRUCTION OY,JCB INDIA LTD
235735-BOM Siemens_305620180105124125-Page(1).jpg,,,
235747-SCAN_20180105153841_229920180105201118-Page(3).jpg,POWER AIRFREIBHT LTD,,
235758-MIA1374_304120180106202659-Page(3).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
235771-120_124820180108150220-Page(1).jpg,,,
235809-AWBLayout_409320180109165334-Page(1).jpg,,,
235823-HouseAirwayBill55218-01106_229920180110025109-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235852-JFK5959_229920180111002612-Page(3).jpg,,,
235870-AWBLayout_305620180111185214-Page(2).jpg,,,
235810-01750783_333920180109175622-Page(1).jpg,,,
235811-JFK5923_327920180109175132-Page(3).jpg,,,
235812-JFK5923_327920180109175132-Page(4).jpg,,,
235813-Pre-Alert20180109225941363_249820180109203351-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235817-HouseAirwayBill55218-01035_249820180109194727-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235818-b2_201801070519_327920180109181803-Page(3).jpg,,,
235819-Pre_Alert20180110122932735_130120180110100615-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235820-Pre_Alert20180110122932735_130120180110100615-Page(9).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235821-ORD3188_304120180110094109-Page(3).jpg,,,
235822-20180110061344747_304120180110041607-Page(3).jpg,,,
235853-Email Copy - 125-44469283_130120180110201631-Page(4).jpg,,,
235854-Email Copy - 125-44469283_130120180110201631-Page(5).jpg,,,
235858-10JAN201814104846_203ec852_272320180111114531-Page(1).jpg,,,
235861-Pre_Alert20180111145658028_60420180111123129-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD,,
235862-SZAE18011370  PRE ALERT_425120180111121708-Page(3).jpg,,,
235863-3918_001_409320180111141704-Page(3).jpg,,,
235867-201801111739281-0.jpg,,,
235867-201801111739281-1.jpg,,,
235868-04822013  hwb.jpg,"MPG TRANSITOS , S.A",,
235869-11JAN201812115175_203ee4bd_130120180111185211-Page(1).jpg,,,
235898-PRE-ALERT 160-40665041_156920180112144500-Page(3).jpg,,,
235899-3972_001_327920180112161703-Page(3).jpg,,,
235900-3972_001_327920180112161703-Page(7).jpg,,,
235901-3972_001_327920180112161703-Page(9).jpg,,,
235902-3972_001_327920180112161703-Page(13).jpg,,,
235903-3972_001_327920180112161703-Page(15).jpg,,,
235904-lta_mail_156920180112143402-Page(1).jpg,,,
235905-3970_001_124820180112154922-Page(3).jpg,,,
235910-Email Copy - 125-47859512_242420180112165920-Page(3).jpg,,,
235915-SCAN_20180112132246_156920180112175925-Page(3).jpg,,,
236235-Pre_Alert20180124023142348_371920180124001047-Page(9).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236236-20180123143527303_60420180123222135-Page(4).jpg,,,
236239-HAWB_409420180124120147-Page(1).jpg,,,
236240-23JAN201814102149_2022a140_334120180124104226-Page(1).jpg,,,
236241-589-6379 5270 pre_371920180124101629-Page(1).jpg,,,
236243-217-18234790_156920180124141655-Page(4).jpg,,,
236245-20180124191320458_249920180124164713-Page(3).jpg,,,
236246-11110003986_328020180124164211-Page(1).jpg,,,
236247-217-1796 6152 MAA_230020180124164111-Page(1).jpg,SCAN GLOBAL LOGISTICS CO. LTD,,
236248-23JAN201815575259_2022c3cb_161020180124163647-Page(1).jpg,,,
236153-WYS1801935_328020180119201220-Page(1).jpg,,,
236154-01192018-150401[Untitled]_249820180119201110-Page(3).jpg,,,
236156-AWB_BIRDUS_DUS-95191512_351220180120104243-Page(1).jpg,,,
236161-176-8498 4745 J&CDEL_124820180120144113-Page(3).jpg,,,
236162-MX-M502N_20180120_152300_230020180120125210-Page(1).jpg,,,
236163-201801210932-2_230020180121071612-Page(3).jpg,,,
236164-444_230020180121033108-Page(3).jpg,,,
236165-JFK6265_304220180121013010-Page(3).jpg,,,
236166-JFK6265_304220180121013010-Page(4).jpg,,,
236167-JFK6265_304220180121013010-Page(5).jpg,,,
236105-589-10082531_60420180119114329-Page(2).jpg,,,
236106-HBL-618-51291601_357820180119124757-Page(1).jpg,,,
236107-EPENGLE_195520180119101415-Page(2).jpg,,,
236108-SCAN_20180119093403_304220180119140905-Page(3).jpg,,,
236110-HAWB EUR18019B_249820180119141316-Page(1).jpg,,,
236111-SCAN_20180119093230_230020180119140910-Page(3).jpg,,,
236112-SCAN_20180119093319_328020180119140918-Page(3).jpg,POWER AIRFREIGHT LTD,,
236113-del_230020180119130414-Page(4).jpg,,,
236114-del_230020180119130414-Page(9).jpg,,,
236115-217-18234753_334020180119125424-Page(4).jpg,,,
236059-SCAN_20180118093049_249820180118141614-Page(1).jpg,POWER AIRFREIGHT LTD,,
236060-217-18234775_304220180118123410-Page(6).jpg,,,
236062-00125441_230020180118150715-Page(1).jpg,,,
236068-18JAN201811291105_20208bbe_124820180118161812-Page(1).jpg,,,
236069-18JAN201811292468_20208bbe_130120180118161812-Page(1).jpg,,,
236070-18JAN201811300013_20208bbe_334020180118161812-Page(1).jpg,,,
236071-MX-M502N_20180118_181623_195520180118160158-Page(1).jpg,,,
236072-WWP880073_414720180118152646-Page(1).jpg,,,
236077-01756340_328020180118175642-Page(1).jpg,,,
236079-HouseAirwayBill75218-01034_305720180119101336-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235981-HBL-205-25644360_431320180115104814-Page(1).jpg,,,
235982-160-82981570_304120180115093113-Page(4).jpg,,,
235984-HAWB EUR18009B_130120180115150618-Page(1).jpg,,,
235985-15JAN201812081576_203f98c9_327920180115164713-Page(1).jpg,,,
235986-WWP880027_268420180115161706-Page(1).jpg,,,
235987-WWP880028_279320180115161706-Page(1).jpg,,,
235988-157-34754226 HB_340820180115175615-Page(1).jpg,,,
235989-Pre-Alert20180116012600746_304220180115230107-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235990-Manifest - CAE00009363_304220180115215207-Page(3).jpg,,,
235991-HouseAirwayBill55218-01158_304220180116040110-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235885-DEL Kamax_334020180112140058-Page(1).jpg,,KAMAX GMBH & CO.,JCB INDIA LTD .
235886-DEL Stoll_60420180112140058-Page(1).jpg,,,
235887-DEL Voss_327920180112140058-Page(1).jpg,,,JCB INDIA LTD .
235889-doc03772520180111142623_340720180112135735-Page(3).jpg,,,
235890-BOM Puri_249820180112134231-Page(1).jpg,,,
235891-BOM hydac_124820180112134231-Page(1).jpg,,,JCB INDIA LTD .
235892-BOM Stabilus_130120180112134231-Page(1).jpg,,,
235893-BOM ZF_334020180112134232-Page(1).jpg,,,JCB INDIA LTD .
235894-618-52698262_242420180112132112-Page(4).jpg,,,
235895-img-112172838-0001_229920180112140737-Page(4).jpg,,,
235896-img-112172731-0001_229920180112140622-Page(4).jpg,,,
235748-01052018-163550[Untitled]_195420180105214114-Page(4).jpg,,,
235749-01052018-163550[Untitled]_195420180105214114-Page(16).jpg,,,
235750-01052018-163550[Untitled]_195420180105214114-Page(19).jpg,,,
235751-01052018-163550[Untitled]_195420180105214114-Page(22).jpg,,,
235752-Pre-Alert20180105235104841_357620180105212748-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235753-05JAN201818122429_203cc381_130120180106122015-Page(1).jpg,,,
235754-05JAN201818122066_203cc381_333920180106122016-Page(1).jpg,,,
235755-05JAN201818121715_203cc381_60420180106122016-Page(1).jpg,,,
235756-MIA1386_304120180107010812-Page(3).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
235757-ORD3209_304120180107004015-Page(3).jpg,,,
235759-05JAN201818114409_203cc381_229920180106122404-Page(1).jpg,,,
235760-05JAN201818114750_203cc381_249820180106122404-Page(1).jpg,,,
235761-05JAN201818115133_203cc381_124820180106122404-Page(1).jpg,,,
235764-22_201801070612_304120180108112011-Page(3).jpg,,,
235765-KUL-DEL_67620180108110514-Page(3).jpg,,,
235766-doc01269720180104095803_304120180108131611-Page(2).jpg,,,
235767-20180107061846799_124820180108135752-Page(3).jpg,,,
235768-AWBLayout_304120180108151309-Page(2).jpg,,,JCB INDIA LTD .
235769-08JAN201810232181_203e1182_333920180108151021-Page(1).jpg,,,
235770-121_249820180108150220-Page(1).jpg,,,
235772-119_130120180108150220-Page(1).jpg,,,
235773-118_333920180108150221-Page(1).jpg,,,
235774-Email Copy - 125-47859501_130120180108175626-Page(3).jpg,,,
235775-HouseAirwayBill55218-01075_304120180108212106-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235776-1110041287_249820180108204611-Page(1).jpg,,,
235777-01082018-151653[Untitled]_249820180108202159-Page(3).jpg,,,
235778-7141450_371820180108192226-Page(1).jpg,,,JCB INDIA LIMITED
235779-HouseAirwayBill55218-01099_229920180109042114-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235780-Pre-Alert20180109035439055_304120180109013106-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
235781-HouseAirwayBill75218-01026_229920180108232607-Page(1).jpg,,,
235782-HouseAirwayBill75218-01027_249820180108232607-Page(1).jpg,,,
235783-20180109014147263_351120180108232115-Page(3).jpg,,,
235801-WYF1801232_124820180109121912-Page(1).jpg,,,
235802-img-109151110-0001_229920180109114908-Page(4).jpg,,,
235803-JB067499_178420180109145423-Page(1).jpg,JJB LINK LOGISTICS COMPANY LIMITED,,
235804-4333662_249820180109141406-Page(1).jpg,,,
235737-Sharp MX-4101 Flyg_20180105_071822_249820180105141204-Page(2).jpg,,,
235738-AWBLayout_390420180105131032-Page(2).jpg,,,
235739-JST-102920 BOM_124820180105122607-Page(1).jpg,,,
235740-1812_249820180105150210-Page(1).jpg,,,
235741-Email Copy - 098-77505201_327920180105184113-Page(3).jpg,,,
235742-Email Copy - 098-77505201_327920180105184113-Page(4).jpg,,,
235743-HouseAirwayBill94217-12003_305620180105182810-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
235744-3850_001_229920180105193607-Page(3).jpg,,,ROGER INDUSTRIES LTD
235745-3850_001_229920180105193607-Page(6).jpg,,,
